x_rel,y_rel,tpore,frame,parea_mean,thick_mean,mcurv_mean,dipln_mean,charg_mean,P2i_mean_mean,P2_cosTAmean_mean,PC,PE,SM,GM,GM1,GM3,GMS,CE,LPC,CHOL,DAG,PS,PI,PA,PIP,FS,MU,PU1,PU2,PU
0.951612903225806,0.435483870967742,NaN,1,55.2406201244169,36.7679213069978,-0.0178127379283518,0.0592022034862742,-0.171885035616215,0.262948838793162,-0.309273657168551,0.516652152820368,0.282350626431462,0.249496479341129,0.108711992025935,0.0734293442415876,0.0352826477843473,0,0,0.0214026607649314,0.653118874295514,0.00372926455378034,0.0793944671833921,0.0477333906489607,0.00430005442943791,0.0331100375050889,0.26089386843166,0.593242157021047,0.455091699050368,0.0376534012014106,0.492745100251779
0.725806451612903,0.919354838709677,NaN,1,58.2428658334498,36.9761370391907,-0.0112495318968971,0.0827063025191327,-0.228538139011401,0.241530498116284,-0.349806521590178,0.346383539177608,0.512195416496041,0.322675399366714,0.121391680575908,0.0533968957863757,0.0679947847895327,0,0,0.00788970087012096,0.514521470102922,0.0279565535539143,0.090260317113472,0.0201043450163733,0.00620622175428659,0.0304153559726392,0.221638636683825,0.587801568007298,0.570813623207824,0.10522470199813,0.676038325205954
0.209677419354839,0.629032258064516,NaN,1,58.3964020591747,37.4977374834923,-0.0010207991618029,0.127410446034746,-0.166107129792241,0.251929225161538,-0.335713930978892,0.607354883520116,0.263529267337077,0.315358832079418,0.0564725119484878,0.0281551516029471,0.0283173603455406,0,0.00119506409645745,0.0260285141844379,0.542406872313962,0.0245541678998767,0.0769072640203841,0.0298483618323561,0.0318628329027292,0.0244814278646984,0.228728757668433,0.501938199655144,0.674008023502669,0.052918146859793,0.726926170362462
0.725806451612903,0.790322580645161,NaN,1,61.1179982963146,37.1105447128301,1.09792775345374e-06,0.0569940107544771,-0.16945077589985,0.249283707833813,-0.34270207135496,0.455694580931048,0.421491770080425,0.331357413392449,0.047469353663316,0.00121299742495128,0.0462563562383647,0,0,0,0.537832042060928,0.0230318386109015,0.114608376424836,0.041760619425096,0.00169960752846856,0.0250543978825305,0.163183166905108,0.516831213490411,0.685719378849,0.0964341986945532,0.782153577543553
0.17741935483871,0.629032258064516,NaN,1,58.8188891880901,38.2271070314379,-0.00504301765078299,0.137305652407439,-0.16784258472596,0.246254912357351,-0.341006916599409,0.622810503904885,0.286600613474872,0.250322235158767,0.058332173593067,0.0235904430766491,0.0347417305164179,0,0.00383414267405259,0.0129635922557255,0.547726190647148,0.0343995297271815,0.106565500761673,0.0272162802748821,0.0243543547502463,0.0248748827774992,0.16025242571883,0.505441981550047,0.715552033314424,0.07102736876955,0.786579402083974
0.306451612903226,0.17741935483871,NaN,1,55.7747496694132,38.2451398885183,-0.00570201268308158,0.0871242830689708,-0.185376635475039,0.270711532564931,-0.319888002183232,0.533455191887859,0.263347348078557,0.346887210660766,0.00301039947300351,0.00301039947300351,0,0,0,0,0.632056656737296,0.00329968876600989,0.0937257121371194,0.0309157230071322,0.0685743500319406,0.0247277192203169,0.218648109988678,0.508649944950535,0.625012547052035,0.0156327412714564,0.640645288323491
0.532258064516129,0.758064516129032,NaN,1,53.8103647691779,38.2561225402777,-0.000937329659907717,0.0809580090163788,-0.144341944994298,0.290829452298129,-0.309753015618362,0.525221596475159,0.259194848284003,0.38368877280169,0.0276776301870088,0.0164579118739544,0.0112197183130544,0,0.0260010132034781,0.0429661831835261,0.612538391137885,0.00138794923769395,0.0277316976071239,0.0308860285124284,0.0188733857343223,0.04383250363568,0.318425702405831,0.599926465747684,0.431577033709001,0.0375324069995987,0.4691094407086
0.983870967741935,0.532258064516129,NaN,1,57.1977539331458,37.3172682921779,-0.000718382382462958,0.0758912191383287,-0.133096525573848,0.261779480816086,-0.320807777468652,0.613405220595152,0.225238657390244,0.260236906260582,0.0557025356027003,0.038957170492471,0.0167453651102294,0,0.00350745758795175,0.000536713866965402,0.644935979328794,0.0294246050972543,0.101638845777212,0.0465300864417349,0.00118541775992682,0.0176575742914818,0.170880303290545,0.600578222412436,0.556039983883823,0.0275655110844017,0.583605494968225
0.887096774193548,0.403225806451613,NaN,1,55.6340865037884,36.9211431634784,-0.0107281747771995,0.0761053311629479,-0.142260249989473,0.27443370564375,-0.309041581837805,0.508487829526802,0.38300607924242,0.251241284184085,0.0739463941367487,0.043250832740113,0.0306955613966357,0,0,0.0383438436733911,0.592901347684663,0.000751691936145798,0.083124666660922,0.0164279856222266,0.0442851784387403,0.00748369889385597,0.236505316974804,0.499472821332909,0.577970145480883,0.0931503685267406,0.671120514007624
0.661290322580645,0.17741935483871,NaN,1,55.6590279139921,38.0053756337587,0.000304958720894573,0.0534139957702311,-0.0691371674379727,0.268362784276625,-0.312280879996482,0.583060726202455,0.231032535530819,0.367901110274276,0.0205513366767485,0,0.0205513366767485,0,0,0.0251989565190427,0.628833831452707,0.0292403178178222,0.0741914197359757,0.0370795668854533,0.00227858513633142,0.000631613768368391,0.19634028517377,0.577774619729128,0.583499556682478,0.0135517069619165,0.597051263644395
